event_code,outcome,year,month,day,hour,neighbourhood
0,not found,2001,04,28,07,Wells Springs
1,found,2007,01,09,19,Marquez Inlet
2,found,2002,02,02,21,Cheryl Trail
3,found,2012,06,13,02,Katelyn Estate
4,pending,1998,11,13,18,Danielle Track
5,found,2017,09,28,17,Jeffery Shoal
6,not found,2001,10,22,01,Brewer Rue
7,found,1995,01,04,20,Gonzales Crossing
8,found,1998,12,24,19,Reeves Mall
9,pending,1997,04,14,22,Brittney Springs
10,not found,2023,10,20,01,Butler Islands
11,found,1998,10,19,07,Mayo Summit
12,not found,1995,05,05,20,Rodriguez Views
13,found,2004,07,06,00,Johnson Estate
14,found,2008,05,07,14,Jesse Stravenue
15,not found,2017,06,22,17,Gillespie Causeway
16,found,1999,08,14,02,Adrian Flats
17,found,2014,02,27,15,Rodriguez Station
18,pending,2021,05,20,15,Miguel Ways
19,pending,1998,09,25,08,Cole Rapids
20,found,1998,09,09,18,Chan Path
21,found,2022,11,14,06,Hogan Shoal
22,found,2022,07,02,23,Ramirez Haven
23,found,2022,04,15,19,Church Estates
24,found,2019,03,26,16,Bryan Orchard
25,found,2010,08,07,03,George Station
26,not found,2018,05,14,00,Roberson Centers
27,not found,2010,01,05,12,Allen Turnpike
28,found,2022,06,11,05,Samantha Brook
29,found,2016,08,11,03,Daniel Inlet
30,found,2012,06,14,06,David Avenue
31,not found,2018,01,12,23,Bennett Spurs
32,found,1997,02,23,20,Bailey Vista
33,found,2003,12,10,18,Brandi Plaza
34,found,2008,02,08,19,Williams Highway
35,not found,2024,06,08,15,Samuel Radial
36,found,2017,12,14,12,April Mountain
37,not found,2003,03,31,23,Maureen Plaza
38,pending,1999,02,16,05,Lauren River
39,pending,2010,05,28,04,Kimberly Hollow
40,found,2014,10,11,17,Samantha Tunnel
41,not found,1995,08,14,17,Douglas Camp
42,not found,2010,07,18,16,Benjamin Spring
43,pending,2004,01,23,11,Dean Fall
44,not found,2003,11,11,01,Susan Lodge
45,not found,2020,11,28,05,Donna Glens
46,found,2001,01,04,13,Michelle Rapid
47,found,2013,01,16,15,Mitchell Lakes
48,found,2005,09,26,16,White Forge
49,pending,1994,11,03,19,Christine Extension
50,found,2003,11,01,20,Hernandez Spring
51,found,2018,11,26,03,Daniel Harbors
52,not found,2014,04,10,05,Rebecca Pike
53,found,1995,08,04,02,Bradley Falls
54,found,2013,07,25,19,Paul Stream
55,not found,1997,05,01,08,Walker Way
56,not found,2003,07,28,01,Williams Tunnel
57,not found,2005,10,14,18,Solis Parkway
58,found,2013,09,25,13,Moore Lights
59,found,2018,11,19,03,Santiago Village
60,pending,2019,09,10,19,Dakota Villages
61,not found,2004,06,28,17,Courtney Mission
62,pending,1996,05,24,14,Davis Isle
63,not found,2003,12,10,19,Martin Route
64,pending,1998,08,22,22,Daniel Coves
65,found,2007,02,13,15,Leon Summit
66,found,2022,06,27,22,Jamie Plaza
67,found,2011,12,29,01,Robert Inlet
68,found,1997,06,17,10,White Ports
69,not found,2006,09,10,05,Duane Trail
70,found,2014,05,01,09,Joseph Trafficway
71,found,2020,06,05,19,Kimberly Light
72,not found,2004,03,13,06,Vargas Avenue
