Event_Code,VIN
9999,39CKTLE13JB08Z1E9
9998,180RG15G2LA0483LP
9997,WUKRL8127D2NV6VM0
9996,AHKFY45K44PD1EHH1
9995,B7CTST7A0GKTTUW2F
9994,XS76G05E28DST01DY
9993,TXF6YYKM893MXHNV7
9992,M914HMZB6PZHZAKNX
9991,GZWSDEZ91FAWJ3E3Y
9990,TGW5DWNM2A19UN1CH
9989,UWXTTFP68X8CHMX1V
9988,1HX3YR082JNAUY611
9987,WA0EGESW9PJ86L16Z
9986,MHP1NTNV34EH79GPC
9985,2ZDVK5VY134BLTRD1
9984,1EF4ASL79TA6UWCJU
9983,26TS8A9E2E6EHGF26
9982,XW5F218T153EH7XDN
9981,RYWG5TJ71JEASV4JR
9980,P42V3U516ZZ7BWV51
9979,2YF2MWBA9SFVHYR38
9978,FPV28R5D23LH8MCX5
9977,0CNMRR424V86WK0LN
9976,6UFZJS2696JYT320B
9975,F0HKDZS72ZU8B16PV
9974,E9PS4FNJ6BTPN7GEH
9973,1G8XW0C156A0THNMG
9972,FTDRG77T7T1URLJXB
9971,FK0H7KD92A8KJ71V3
9970,G927747B7J2N65NLJ
9969,BBXW7KPVXHJGYT16G
9968,THRR398Y4Z4E6F7B7
9967,7V60EBZ25EZYBJ5UV
9966,C8VXWV4J5ZGWDJUR7
9965,MYZM62W52A8R8FXLX
9964,90TFWUZJ30AKGR23F
9963,CZSJMMVP6HZKECLES
9962,08A5A17J9K14E4R3T
9961,83MC8W6G7M0F5J00W
9960,9PDZH239XBF73A5XJ
9959,7LPL1GMR6H3G50329
9958,NG6G9M407TNX1WAD4
9957,23A8X7GD8PYBRG909
9956,4BU5YPV41MLSTPKPV
9955,6F7SDKXZ5A1VS37MG
9954,D1MLSC2509KDTZ193
9953,AWE3VF935JVTDLFSB
9952,5MW3M1AM7NUXB408U
9951,3EMK755D9PKGENYUX
9950,Z2RCF199XKXKTWUKA
9949,6V3Y5WF51AFTB15VS
9948,AZTJZT38XDYJ2HGCR
9947,WXGF6ZLL200U73T0F
9946,XUR1MYSHXF0ERPLW4
9945,18BD4EKV9UUC201MM
9944,48004LB89GSHVUEMA
9943,V4CBFKTS53S2XETS4
9942,94CK617C1R0EUSD2S
9941,TZD0ZKCS01LH9CGA3
9940,4X5HYU92668RDG0W5
9939,KEJK9WTKXS0WMVV2P
9938,WYWUW5EC4WPPYKXAW
9937,SLMNZJT62UAB3X0WW
9936,VSM93V4K9CZSJU3KS
9935,PNCYVBWA5SWKN5H4G
9934,33WEC5CN1R2SLUXRS
9933,PYR2H04W6V4HTERSR
9932,4Y6N8PBF4KA9RKYHJ
9931,TAMA2EZW2UEH5SW3E
9930,CA0U5HXL6KM547KE4
9929,39E2G0LS0KUYV0VTC
9928,JA5VUASM8G6CDC913
9927,XEF5S4G45K7YDT6WM
9926,DLJALEAD2TD501RYZ
9925,3DHSFST9XX5FW7F5G
9924,BC24APLN6PCSR5HPD
9923,7P7W8W3U6MG7S0F8Y
9922,64K9SP7AXKH8WZLK8
9921,ZTWZZ15Z09ZX35NHP
9920,6SAYUD7Y68K55NA8N
9919,SU4MS64U5680GWTT3
9918,777KLG5M8N0PZ2ZNE
9917,M9S0GZ5A7S9F5795C
9916,Z60B7LG47RVVPLCEG
9915,95DLZTSL71KLA67LS
9914,0DKF1S1535UCNCSFE
9913,DJ6Y969X1K18XXCU6
9912,KFCV6LW9368Z7JMZA
9911,TWTGUETK26S96CNS6
9910,2YAV8NCU3AEY010AJ
9909,LEFFBWVW6J0RE0B73
9908,7DC9YB3R6589WC3H8
9907,0UZ47X0D5EBZL4YPT
9906,WDEC9B6Y3SXLUP670
9905,L4DVLE348EB4RL8VG
9904,Y92GWMFP9C0JEU2AR
9903,M8P3V68T3WJXX12RE
9902,10DF4VJX2LYMB5XTR
9901,WA1R0S5A44N5JY0ST
9900,HSWUMPDA7DLP9FYRT
9899,N7WJ15Y36EHW060X8
9898,0260ZMF25DY0DWFH7
9897,54PHAALH1DM1T1PH2
9896,HAGLE28X2TN54GW79
9895,SHCH0XL708DPE9GND
9894,L65TY3YN1HVATZ2AU
9893,8Z5NJWDC1L1YPHB4L
9892,Z7B91JYY6F08PYBXE
9891,9GT2281W708MFSN94
