VIN,Make,Price,Purchase_Method
18MKYZ394MK00UCLV,Eagle,210000,Financing
AA6WLXB16VAB3VERZ,Toyota,120000,Financing
PGZC4PKW22D3MWVUN,Chevrolet,430000,Cash
2RPXT0VL94A2Z3GBP,Acura,250000,Cash
V2TSHFBD0LRRDET1Y,Jeep,160000,Cash
M7KFX91D3H4WL1USV,Chevrolet,140000,Financing
JEAGZ7SR6PM7L1MFV,Mercedes-Benz,270000,Lease
VSE4HV3J2LUCF1L6G,Lexus,30000,Cash
FURE8LD62CY9JAVFD,Oldsmobile,60000,Financing
PBGEDKUCX5MVKE43A,Acura,320000,Financing
WFR449TX5L27FPHC1,Chevrolet,190000,Cash
M1KPG1543VDFL1V6D,GMC,470000,Cash
S7RDFFGU8N3VUK1GT,Chevrolet,460000,Cash
7WMX78Y44NY5WUZXV,Ford,290000,Financing
XWB4RTZJ79K8W357E,Ford,390000,Financing
XYMXZZ0X7WJXL5384,Subaru,40000,Cash
3XF9BFWK5RZEG4T8A,BMW,20000,Cash
KU2T60UM7DNSJ2403,Dodge,360000,Financing
KYCMMCVA2LW9NUR9P,Honda,160000,Cash
NPKT8MJP5GBDVTP4E,Nissan,470000,Cash
CM5UETBA0UJ9HG4ED,GMC,420000,Financing
K9KNY9ZJ2YGNVLED5,Chevrolet,150000,Cash
03W26EME9RWPU5D30,Nissan,380000,Cash
NASBP0K83WUEA1UJW,GMC,30000,Cash
20E8KW5336W6PK0XU,BMW,440000,Cash
6KZY0PY779WLGSE48,Volkswagen,40000,Cash
JR1LP6KW6814D3F60,GMC,240000,Lease
NGDT8GDJ9YS6M5Y34,Honda,410000,Cash
UM7TYCDX1964F0UE7,Mercury,320000,Cash
61UECDMAX9ZPDE67D,Chevrolet,70000,Financing
4V1PW8EU2MN6GGT74,MINI,310000,Financing
838Y1AUW13GVK3CA0,Nissan,290000,Cash
FHLTANUG6LP1UWRKS,GMC,30000,Financing
U96B0KEV76G4J1WED,Hyundai,130000,Cash
5ERTKK9B8FTCBPU1N,BMW,430000,Financing
GZBE74LG3CGK8134U,GMC,50000,Financing
CDCY5D080JZ82RXUC,Chevrolet,350000,Financing
YH352P2N7MADJS4MM,Pontiac,170000,Cash
9J98T4J13MVCWPD6V,Chevrolet,320000,Financing
8J4EA5620USVEXZN0,MAZDA,400000,Cash
FA4LU9PG5WV010X18,Lexus,300000,Cash
DDN9AS9W0UEMS2XBJ,Volkswagen,350000,Financing
4Z2A8PHG6HRJGJ7PP,smart,240000,Cash
BC4FG5ED8BEGD28X2,Chevrolet,250000,Financing
XRYYU15L19DTVNDT8,MAZDA,230000,Cash
0UD18T3W88GY47ZDB,GMC,450000,Cash
ZK933U179RPPK72U0,Ford,80000,Cash
WJUE2YPJ54X1J2HX9,GMC,240000,Financing
26SL4PRN7SBY5SSEY,Volkswagen,400000,Cash
APENWVUXX1XU6J1W5,Cadillac,400000,Cash
8YP2NEZY8THA76Y60,Chevrolet,200000,Financing
TW1F1UBZ0N3X2J02N,Ford,280000,Financing
5LVRYZ8B1UN6LV8UH,Ford,10000,Financing
CHYC7XN02CL3Y7PR4,Ford,160000,Financing
S5K5N5MU6Y7BMS09T,BMW,290000,Cash
F0VWARA10FWE3T7HW,Lexus,490000,Financing
F5ZTKLDY9SMG7GXWX,Lincoln,80000,Financing
FG9HCEPL99Y4GVNUG,Subaru,260000,Cash
XVXRJ0CE20G85NMNC,Ford,280000,Cash
A9M5LVFT92RP2H3GP,Kia,370000,Financing
NEXLBKEC39WNPA676,Ford,90000,Cash
RD3Y8B4X7599BN0VZ,Audi,200000,Cash
96CEVXM82MAY2X7DA,Ford,340000,Cash
23UEKCXX2HG7JV7V2,Isuzu,150000,Cash
5YTUPNKN66SM27X75,GMC,40000,Cash
KD2BP4ZJ2XGWDLU33,Dodge,290000,Cash
70E29WZ913VRA4ZS9,Dodge,230000,Financing
