       Neighbourhood  average_price  total_vehicles  minimum_price  maximum_price
     Liberty Village   2.532953e+06            7432        10266.0      4999448.0
           High Park   2.527533e+06            7488        10051.0      4999444.0
 St. Lawrence Market   2.522009e+06            7578        10992.0      4999877.0
    Danforth Village   2.520681e+06            7437        10234.0      4999650.0
        Roncesvalles   2.518253e+06            7397        11790.0      4999571.0
            Parkdale   2.514331e+06            7599        12458.0      4998745.0
         Cabbagetown   2.510965e+06            7527        10572.0      4999000.0
           The Annex   2.508608e+06            7428        11126.0      4999922.0
  Bloor West Village   2.507794e+06            7649        10587.0      4999554.0
Church and Wellesley   2.503782e+06            7569        10111.0      4999823.0
           Chinatown   2.499680e+06            7441        10305.0      4999885.0
   Kensington Market   2.498362e+06            7638        11339.0      4999718.0
          Queen West   2.496278e+06            7395        10397.0      4999732.0
        Little Italy   2.492432e+06            7437        10355.0      4998018.0
         Leslieville   2.489170e+06            7500        10007.0      4999331.0
           Yorkville   2.488680e+06            7450        11563.0      4999436.0
         The Beaches   2.487905e+06            7401        10536.0      4999725.0
 Distillery District   2.487681e+06            7477        10159.0      4999985.0
            Rosedale   2.485947e+06            7525        10794.0      4999883.0
  Scarborough Bluffs   2.471581e+06            7632        10811.0      4999880.0
