(27795, 'pending', 2024, 3, 31, 23, 'Danforth Village')
(34935, 'found', 2024, 1, 31, 21, 'Leslieville')
(915, 'found', 2024, 1, 31, 19, 'Leslieville')
(10255, 'pending', 2024, 5, 31, 17, 'Scarborough Bluffs')
(1321, 'not found', 2024, 1, 31, 15, 'The Annex')
(10473, 'found', 2024, 1, 31, 12, 'Kensington Market')
(11427, 'not found', 2024, 3, 31, 12, 'Scarborough Bluffs')
(4444, 'found', 2024, 5, 31, 12, 'The Beaches')
(20030, 'found', 2024, 5, 31, 12, 'High Park')
(7917, 'found', 2024, 3, 31, 10, 'Roncesvalles')
(33134, 'not found', 2024, 3, 31, 9, 'Scarborough Bluffs')
(41191, 'pending', 2024, 1, 31, 4, 'Chinatown')
(10017, 'not found', 2024, 5, 31, 3, 'Rosedale')
(43285, 'not found', 2024, 1, 31, 2, 'Bloor West Village')
(22493, 'pending', 2024, 5, 30, 22, 'High Park')
(11177, 'not found', 2024, 1, 30, 21, 'Yorkville')
(12111, 'found', 2024, 5, 30, 18, 'Parkdale')
(40726, 'not found', 2024, 5, 30, 17, 'Yorkville')
(34958, 'not found', 2024, 1, 30, 17, 'Little Italy')
(47529, 'not found', 2024, 4, 30, 10, 'Scarborough Bluffs')
(14964, 'found', 2024, 5, 30, 9, 'Danforth Village')
(13888, 'found', 2024, 5, 30, 8, 'Kensington Market')
(40227, 'not found', 2024, 5, 30, 5, 'Church and Wellesley')
(30050, 'pending', 2024, 5, 30, 4, 'The Annex')
(47340, 'pending', 2024, 5, 30, 2, 'Rosedale')
(8731, 'found', 2024, 3, 30, 0, 'The Annex')
(18454, 'found', 2024, 1, 30, 0, 'Kensington Market')
(23587, 'found', 2024, 3, 29, 23, 'Parkdale')
(22475, 'found', 2024, 3, 29, 20, 'Liberty Village')
(23112, 'not found', 2024, 4, 29, 20, 'The Annex')
(31420, 'found', 2024, 1, 29, 20, 'Danforth Village')
(1881, 'not found', 2024, 5, 29, 19, 'Distillery District')
(25349, 'found', 2024, 2, 29, 17, 'Leslieville')
(16373, 'found', 2024, 2, 29, 16, 'St. Lawrence Market')
(22201, 'found', 2024, 2, 29, 16, 'Bloor West Village')
(33511, 'pending', 2024, 5, 29, 14, 'St. Lawrence Market')
(27335, 'found', 2024, 2, 29, 14, 'Scarborough Bluffs')
(34487, 'not found', 2024, 5, 29, 12, 'Roncesvalles')
(921, 'found', 2024, 1, 29, 12, 'Danforth Village')
(34086, 'found', 2024, 4, 29, 10, 'Little Italy')
(27124, 'found', 2024, 1, 29, 10, 'Danforth Village')
(35216, 'found', 2024, 4, 29, 8, 'St. Lawrence Market')
(10969, 'found', 2024, 5, 29, 8, 'Danforth Village')
(39093, 'found', 2024, 5, 29, 7, 'Little Italy')
(36861, 'found', 2024, 1, 29, 5, 'Bloor West Village')
(8965, 'not found', 2024, 1, 29, 4, 'Bloor West Village')
(32982, 'found', 2024, 5, 29, 3, 'The Beaches')
(47638, 'not found', 2024, 3, 29, 3, 'Queen West')
(44221, 'found', 2024, 5, 29, 1, 'Liberty Village')
(34737, 'pending', 2024, 2, 28, 22, 'The Annex')
(31471, 'found', 2024, 1, 28, 22, 'Parkdale')
(14948, 'not found', 2024, 4, 28, 22, 'Danforth Village')
(11096, 'pending', 2024, 4, 28, 21, 'Kensington Market')
(29933, 'not found', 2024, 4, 28, 19, 'High Park')
(47252, 'not found', 2024, 4, 28, 19, 'Rosedale')
(44916, 'pending', 2024, 2, 28, 16, 'The Annex')
(5696, 'found', 2024, 5, 28, 16, 'Chinatown')
(7499, 'found', 2024, 2, 28, 15, 'Distillery District')
(37225, 'not found', 2024, 4, 28, 14, 'Danforth Village')
(37504, 'not found', 2024, 4, 28, 14, 'Liberty Village')
(8226, 'found', 2024, 1, 28, 13, 'Chinatown')
(6136, 'found', 2024, 5, 28, 13, 'Leslieville')
(48346, 'found', 2024, 3, 28, 12, 'Liberty Village')
(11713, 'pending', 2024, 4, 28, 11, 'Chinatown')
(26138, 'pending', 2024, 1, 28, 10, 'Liberty Village')
(41947, 'found', 2024, 2, 28, 9, 'Chinatown')
(48069, 'not found', 2024, 4, 28, 8, 'Danforth Village')
(49453, 'found', 2024, 3, 28, 4, 'Parkdale')
(19984, 'not found', 2024, 5, 28, 4, 'Yorkville')
(17783, 'pending', 2024, 1, 28, 4, 'The Beaches')
(28681, 'found', 2024, 2, 28, 3, 'Roncesvalles')
(34017, 'pending', 2024, 2, 28, 3, 'Yorkville')
(42309, 'pending', 2024, 1, 28, 2, 'Little Italy')
(39385, 'found', 2024, 5, 28, 1, 'Scarborough Bluffs')
(1224, 'pending', 2024, 1, 28, 1, 'Liberty Village')
(1002, 'found', 2024, 3, 28, 0, 'Rosedale')
(48251, 'not found', 2024, 1, 28, 0, 'The Annex')
(18676, 'found', 2024, 3, 27, 23, 'St. Lawrence Market')
(5948, 'found', 2024, 3, 27, 23, 'Rosedale')
(38612, 'pending', 2024, 4, 27, 22, 'Kensington Market')
(6481, 'not found', 2024, 1, 27, 21, 'Cabbagetown')
(15409, 'not found', 2024, 3, 27, 19, 'Liberty Village')
(45381, 'not found', 2024, 1, 27, 18, 'Roncesvalles')
(31260, 'pending', 2024, 2, 27, 18, 'The Beaches')
(11229, 'pending', 2024, 4, 27, 16, 'Church and Wellesley')
