Event_Code,VIN
124999,BJKPMZL3XBA85D3XB
124998,XKDWXXLJ63EG5L88R
124997,5JN265UC435RTF6EU
124996,F6J8LN1LX0FC3WXZT
124995,J76S0UJJ25EY96VWM
124994,P30PTC6B7RH7PHFPH
124993,F1FPS8AC95ZD8ZL9K
124992,NHJKJ02SXJC4JSA58
124991,DBPPNP2R4WG4JNKB7
124990,LGTY7CUY84X4DSP19
124989,E34U2EPV0FESXMH6T
124988,299NP4TU1RK69SFSU
124987,TS1AXP4B1ZXJ3TCSN
124986,V0LBC3B07CNRVG6CY
124985,DDT428N53X2H7NVEH
124984,JKCYAC8KXBBHV8MY0
124983,2RN0P7LX0T59XCKEZ
124982,4PFXYRRP1AC2YN787
124981,GP8FF5U72EYYVXJ7D
124980,PZWYTMX278Z6GKP1A
124979,8MWP6M97X8E3WAPBV
124978,SPRJH6KR4H067SKXX
124977,F2D7B9M5662YJB58J
124976,VN91ZXBH0DK3Z66GR
124975,TMDHKL033XVK6LEAF
124974,FPZTH9CG9FGDH46WV
124973,51WBZCUP73BSSZ84R
124972,X6T7PNYC554UWKX7Y
124971,XHHWLBB41XR9XYMBU
124970,D4U0G9AL8CZ6XR1F8
124969,A73K801742XC22PDV
124968,FGALE9D149F5V22UK
124967,JT3HZUKR1PC0L586V
124966,CSYZH66M571WYU1TR
124965,N7DWY4397GEAKPDKZ
124964,44AEJS777Y3C1GNUC
124963,07JW39SJ2NJGGBR4P
124962,PP101M1024X31GUUE
124961,FKAFWH8N6CYMAUD5X
124960,X93N5G8H4GT0K54T9
124959,CRFRYA296RB72DBXD
124958,65S2LPKD6SFKDNTA5
124957,E3XXAWPW58Y29H6JT
124956,BJXXRUMM4E3JE6A8R
124955,954B73HZ4URDTXL2U
124954,S6BARRZ04ER5HJDS3
124953,VG0BR2685F85FAMB9
124952,T7X9GMD266P6X9G8B
124951,GK2RKSN24V26B1YMN
124950,LLZ3F3NT9YKPWZ77L
124949,SPM6B2K89E7BK2UKR
124948,TWHV09FR5V3F8VGM4
124947,WANWSSLSXXYGK3SDC
124946,NCN2GDYF750FFW9YT
124945,PMC8J7KG7B92YCMPJ
124944,F0V44JYLX312SVYJ6
124943,9J858EWP6W833074F
124942,0AHL6CSK3AYJ5705J
124941,259CG1WX8SWDT64GG
124940,DT68U0EV15N0VJM2L
124939,YC7HZ6EZ9MXWC8TED
124938,70CPH41R2GFGZURX8
124937,ELHTD3B22139SM1TZ
124936,EPU0NA1U73HWVT7UR
124935,CPR6ZA2F598G0LS6H
124934,FW64XZ6L2DT8658Y5
124933,ARA13FU52LSRYHW1Z
124932,Z8V6RU2R1MU1CB374
124931,CZYRJ2SG0RD76U1BX
124930,DXC3WLUP8MSZMVVZF
124929,7ZA8N75G4ETLVPSXZ
124928,D6YUSAPH0C4UG28FS
124927,NZKCBXFE3VXD4549F
124926,PHDJRBPR7HVDVLTS6
124925,AKBUMH2C9HL8HMR0V
124924,H6RE21TA5KL3CLXFP
124923,C59MM68C6669N65EL
124922,0455DF9A7TRJEFKGD
124921,MN4ASNR62AHTKDCSA
124920,GF9XVEPT274JNVGJV
124919,XWYEXTUA0LLKWRMZP
124918,422F87MF4UTZJKUTH
124917,SG83SZ642NBPHVETB
124916,CNFK1T0K5DX2BPD96
124915,4CCSBL9D3K9TPX04N
124914,613LX24Y3V8AHKX58
124913,BM3GCA536EAUBVVP7
124912,XJ9EFC34733YGF5BV
124911,LV41Z49D9VTTZUDZS
124910,RYMG33ZR57CUSD7K7
124909,7KBX6PPA3CJYVE80J
124908,WBFSV87Z024RVNMB8
124907,LK3HF9NR6347MTNEC
124906,02ND7PWKX8ZMHTR9R
124905,PJ8VSLFBX5T6PHKMD
124904,NPBTHMJ725C7U882W
124903,1F6AXD9L8WX7E8U3K
124902,TLSUG41F6LPHET7Z3
124901,MN5VVS4A0DS089X01
124900,6SRVCBY85YKJM556M
124899,YB5XH9Y24GNGY0RE5
124898,7G91M5WL234RYVTNH
124897,DYAM6MK47R7MFMVW8
124896,WM2UF53E2TP476P82
124895,SLP50DG34S35V8ALG
124894,3C4PW2BY0E6R5V6J3
124893,VEC4NWPE253GZCF4B
124892,2CNAJF7D843HLHMGF
124891,N2STLR3B66RP125G1
124890,7SC2ZFZ10S9R4709N
124889,1N7GE0U993DHTSZH4
124888,7F5L5X65XRYMHY478
124887,WDP6SR9VX8D2XMWMH
124886,T0EF94VE1639CELRK
124885,2ZTAZVX94LUZVVZW0
124884,AA1DJDBX73VX01XKZ
124883,UZ53VN0U1RL0KX7MW
124882,6Y5V764H2ZR5VB707
124881,V8B096N75S308EJKW
124880,R54FRNV671S52J46V
124879,SWT2VFNX6SNTFVV0H
124878,6KYF85V08GE2YVGS8
124877,SU42Z8R22NXNZ8GCV
124876,YHC8097M4C9WUPG37
124875,Z0XDUJM61YBB024H1
124874,86EHSENM7XVRKZ6FE
124873,UE61RHXL19LSP68K0
124872,G23PD9EG3BJY6X83X
124871,DSWZLG5B8BU0WM3VB
124870,RHLWHSU20F54L5FWJ
124869,F8LM57X82Y9W6JTWR
124868,K5NH66FMXLH7RY3RL
124867,BAAW90EE2XRA3LU8C
124866,X54VN28F6S1GALKV4
124865,Z82UWCVB8NGUJSUJC
124864,0PEC6RBU20U89HM3J
124863,J1GY01BF3BN1YEWB6
124862,YRDAWS5AXAWKH8Y8Z
124861,57S0U68H597TCWHZB
124860,JPUV4GES5EEZ08RZV
124859,RLTU8UD78WJ41WF06
124858,3JXW8LG5478ECYY3U
124857,A0M6XYWD2APL1L25X
124856,WS9V2JMA2F0TYD26B
124855,ZDMY9NUV7N8RWL7KY
124854,X4HDGCW69VUL3XCKD
124853,RYHCBFUY322SS17VD
124852,3N531ZKA7B9XT36S4
124851,JLXGAHBJ2X885F12D
124850,A8TXZZF804SFELN27
124849,U54L2K1G53RMLUNKZ
124848,UVCU4X7P3PK1UGGKY
124847,MYWNR1D899AWUYFT0
124846,JVJ2BNWU31HLPTWDW
124845,3F1MLUZ72CW6PC7W9
124844,8NCA8LZ164C4B2FE9
124843,HU57TNMZ7D16NK4D0
124842,AUVL2K2C3FX652K4G
124841,K11ANG9U6ANHT9645
124840,E0GMX0ZF14FJE6J23
124839,5GEC0P7T0JSADDRK1
124838,BN8P52Z5219P52NTB
124837,93B3UZ82X1D6XC7GZ
124836,MW9N919648SXSL2AE
124835,DE5KA6R99PB5KLEM3
124834,A8HN6F3Z2Y2NXEFYL
124833,1LCZ3WCE17VYGJ3F8
124832,T1Y20TWW5UJUK79JZ
124831,54ANFTDM0L8JG9KKL
124830,LM7FGW0B0DV1ZS7GN
124829,GMCMN3YM5R3P5S2UJ
124828,LB1D76V298Y6BHCX1
124827,17MLGG414X59J6NU7
124826,HUC4DRT95W3K8A6DC
124825,PK35P1AB3EX6Z3PZV
124824,J45M9B86XF30CYUHB
124823,8YJ8US1T85LA1G071
124822,ZCN8CPJF42DC8FBJK
124821,X53VZ2K6529KAU2B3
124820,0W8HWS0C556XB2G4Z
124819,RKD35XVJ853GKTDJN
124818,D3HKY7V387D0KDMJ5
124817,0GL17F8R5YVYGK1BJ
124816,HVA6V5RY6UFBARNBG
124815,TTJ9M9L34JSE0M919
124814,W48VWFKX5P60NJJ0D
124813,ATR0SNZ78L30KTN46
124812,JBN9RN3NX87VHD2ML
124811,SA6T5MXE1FGDVSF0G
124810,F61H4XB04S54RDTJK
124809,MHGUZSJ79BVP5D4TP
124808,A6DUKBLJ9NBYEMA1U
124807,K1877AC41T1439J09
124806,4EZ0SKC89TXSSCJN4
124805,9GV4J6VX207DM75EA
124804,S02AH4B5X9R6CGPTW
124803,KKJGCP423WPFNJ36L
124802,Y96UVZKRX086H9467
124801,KRTMPPRV9AHGZCE4G
124800,SBWTJMSS77X7FAKBK
124799,5M6RKNYU6H1FCE85T
124798,FNMFKUJWX8N0FAKD7
124797,KDXFRWHW5T9CD3298
124796,PZECEXFT6NACLTFBR
124795,79YEFTGUXV70WB3T7
124794,A4C1FRAW52G6WPPJ0
124793,58VXV8ST8CTLFHNN2
124792,8F8VS2TB86ST1LV4U
124791,JD261MPH589H6EXYV
124790,H1DHLDN10833XGX5A
124789,L6181FMD6W5NC9HVP
124788,SPW9PWRV7R5KH5BZN
124787,N9PMKA395ZEKH46WY
124786,EMX3HK4C9A2WJ8BA7
124785,SG5KUUCNXEYGG2L9W
124784,0PZ8CYR86N72RWJ2B
124783,KXNRL59J9E9VE0VHL
124782,0JFHPN6N1RDGHAS2A
124781,27B7Z1717KV0YZE0A
124780,9Y9XZRXM4Y9DGC86R
124779,C42S9NKX1WX2SUEA4
124778,GME5WWTA1THAHRC9X
124777,LMBLPTLZXSKWZPHKJ
124776,XHK3ZHV09BWPY8ALA
124775,PTA6L271XFWPR57TT
124774,4XCXUSN24HTTYUP68
124773,S1D037YP5UV5DBRSS
124772,87PECV9255VPHSJLL
124771,BV1XWAP24R8GP67RP
124770,WUB800UG6TM5R4D06
124769,ZWYCWAT11LV45Y9XE
124768,LDYGYWBE9CDG78HNT
124767,1398EZDJ78JTSAH0E
124766,UBMR1PZ675WPPGZVX
124765,UUHR3DG37ED34JF2P
124764,4PTERB0C2V3JU6CKV
124763,TLPYPFEE72NPC78PF
124762,7J32RUA4X5T8RR5MA
124761,GEZ9LWZZ7PZ799ZJL
124760,ETX47383118KNGH91
124759,FMGX8JMC4LFDE1H9V
124758,DPBV2KP70NB46NMGB
124757,YVJHUZXS41WHTW1U6
124756,1SWGD1G62CF015L8B
124755,6M009FW82758LT2ZK
124754,KD3MXRC7XDR9MLRAN
124753,261X7LM90E037YKH2
124752,2E2A7NSG01696F3SZ
124751,SG7K9NFE86ML313W7
124750,MGBMVZ5P109NKYHYD
124749,JFKDU9ZK0T3H87CMD
124748,80KSFLET1WD49RW6Y
124747,1RTB3VJDX2ND5DWKT
124746,4UP6LBJA0NVM8EKBW
124745,D8FUPUKG20FH2N5G1
124744,YC5R9ELEX5J7B8TW5
124743,GVFYVJ0P4JGRY86VC
124742,2UUMCMTAXENDJC894
124741,X2YBK3H53ME518GK4
124740,HB1Z8LRZ5DMTZ2EHG
124739,GZ1ZMDJP5MGNTV66Z
124738,3A0F4P2A7C7JHHMPN
124737,BUFCC7C5404CPSBF4
124736,HSRRD4VZ6LEFDUK15
124735,C3MFP19Z33VA02TWG
124734,ERJWJEZ35A8R0MH5P
124733,3YTUWMX3XJGVEEA4S
124732,80AFNFK07S4ZT6LSY
124731,N2Z2KG448KUWM61F4
124730,S1JPZAUJ6R97L0V6F
124729,YNSJ920CXPPALZC1X
124728,BFE2C72V9GMJ3VRAG
124727,KAKMPZ062F78GLDFB
124726,V4CNTZL784PMRSU1D
124725,B12A8X4R31WNYJJ1F
124724,DBXFDPEE1K7E2KBS2
124723,7TA07EJU0YZR13C5L
124722,P3TA5FS41JWY66K5A
124721,JG9K3CFY2J13H9AAS
124720,33FDN5JU7DLY65LY6
124719,K1004T5L1S0HH15HC
124718,U8Z895YS8EK8T6M8Z
124717,7CNZPGUK9702ECFAH
124716,0541704R83U0ZF3TC
124715,M4254YP2XUE7SU45P
124714,DPVY32U8X1A8KD1H8
124713,SUXC6YUS9H5BTY27S
124712,21SMDY84XA5Z7KL4F
124711,4US1AG2J4J2UF9T5J
124710,XNNPKR4E6TME7VBFN
124709,FE9SW5781WCJ1DRSM
124708,1HZ5ELWC1M472E2F7
124707,Z4KKPDSR28RSFG4S6
124706,G65T8XXH4TBVAR864
124705,R97ZP33V8LEMG41MK
124704,EEPHV8CG63482SDSV
124703,456KN97B6DDCEHFNV
124702,7W6DKC9X668MPHPLV
124701,1HBUEBKU45224GN5V
124700,6J1LE8ML98N7K9T6V
124699,GW5H4HY97JUS0GMBV
124698,2TT4P5TK28SCLV8DG
124697,HXU961N90SG4B1HX7
124696,DUBL74NW21S2RDHLP
124695,RPA22HZA55JSJCKN8
124694,RX8J0JHW0YNY93AFY
124693,RJ2Y2K6EXV8SVPDWE
124692,138TYGTF1ED4HAFDG
124691,1BH4G2PB5VP9G5CX6
124690,AU4BUN6136UMHLZSA
124689,GREENH395M25V5PKE
124688,VJBEGP4S31HUR5M7E
124687,HUP1NABJ0F0ZYA7SH
124686,9H841LSN3DFVSFS4N
124685,JDM3R58525JHLRF8M
124684,UX880DNG6B1CGSJVF
124683,MEK4S85K72NCCR57S
124682,UYEXS0EJ17C4SWSPD
124681,RE3TE2L7391YXCYG6
124680,FMR2ZWAK1P44AEJ71
124679,D8YRBHEB629MVANYC
124678,JDU6EWCS8KMA6FXRT
124677,SB98V4E02XM90JMX5
124676,58H76ULP8Y9L665SN
124675,4T5BYBKW99CJ1B8JP
124674,RZ6TBUJ29KNRNVVM1
124673,HT9PLP491D0UEFFAZ
124672,1X5STD1A776F4XH8J
124671,THBDPMYK0M4R9GH31
124670,KEFMGGUVXBLS6PWK1
124669,5EK3W59Y90H5G6SPV
124668,FGW7LA599ZJD22AZR
124667,JFHKPB6W0RHH38UB0
124666,0NKXAV4V9M0KA5YPA
124665,VSL05JFDXV1EUBNS6
124664,5VXR2BGD4GEETFJFC
124663,DCZ32UU60U8AHLVVX
124662,L9MLX51FX331ND9C0
124661,Y9CRLBUA0JZMP1HCT
124660,KYKL1XS6XJA5VG2B5
124659,SHH94MSC3V1VMGJVT
124658,J3N5YFM97DJBSN5PA
124657,A30JT33W61AZLYKBM
124656,KCHXNLKB287DTWBC2
124655,RNZSLJF02TSPZBJUC
124654,6JBV29798NE4STV6C
124653,P9986H7XXWT4F4DWU
124652,AR81MH5L3LFA9V6WP
124651,Z16CBBCZ614EY2K9B
124650,6TX8FTB80XWT63W2P
124649,CN2S3MZBX8BACLK5A
124648,9TALST4F2PVK7GM1D
124647,L2FAU3WS9J7C5Z5PW
124646,31YEBD6S1ZVY5PVGJ
124645,9A7591548Z2VH6L4W
124644,E1UVGS646072M6LPD
124643,C9KA8S399PMR8GCPX
124642,WURRS0ZZ9Y5LVS51L
124641,YWDE9P8B7L0118F4C
124640,XYW1P7L68TVX4J4RG
124639,KMC9APL93KY4LY3S9
124638,2FSBGVWM3YJJHDEXT
124637,YLG7LZCF1KDERWK5S
124636,NBY9GYVP2L7JFWG37
124635,8PJWBM3P9GCW7P9YS
124634,AG0TGZR865Y9REGTV
124633,7BU7XHLZ9JUNKNBDL
124632,65F84MP28VYNV52V8
124631,XVDN64TL5CLA5JR8G
124630,S1AX6YVT1FN6R1RCY
124629,WFKHH85F2NC8AHR9T
124628,FY272VP41ZGFM64V2
124627,ZJ289VJRX8ZHX77C8
124626,JBLNLFV8885ZS3602
124625,LGFD0NDJX5R2CPN43
124624,FKZZ36EY9C3HYXWGE
124623,KZ27EMKMXS0DXW1P3
124622,9T1Z1SBR26JZ2FPZH
124621,S1DYK3JR5NWNRD57C
124620,RBM1D6005ZBAZWM02
124619,JXTFMFTC85VFW9LR2
124618,6DXYBCPS7XKHF0NWZ
124617,A9D2MFV032034K99K
124616,53B92P412EPZ816Y6
124615,9NB150GN42D7CN1PP
124614,F1CSP8ZE1YC4E4SE4
124613,WJA9Y15641HRDFZZJ
124612,RXVBJ2404GZXFH92R
124611,M55AD3TP5T1BT3W9V
124610,152GHPAY4L18DSHVP
124609,K510M60KXTHNUN8XW
124608,MF7ZWK5E0JWKHGMNB
124607,YVAE2YC55PGB1WX5S
124606,TV4D19FT4F5M9NCWS
124605,185HG16GXNHHZ115K
124604,PKAU2JV00VE1AG1X0
124603,9GMBSM2254BBH9PJW
124602,3YF9Z23969K05BN71
124601,CP9DLH7N2W1W0RUBJ
124600,6CYCVDP26F5STLJZE
124599,Z3NY6J1H0KLH1EYHY
