Event_Code,Outcome,Year,Month,Day,Hour,Neighbourhood
0,not found,2004,12,08,19,Bailey Overpass
1,pending,2008,06,26,16,Mitchell Ports
2,found,1994,11,14,12,Smith Plaza
3,not found,2016,05,24,21,Fox Center
4,pending,1998,03,04,08,Rogers Locks
5,not found,2006,09,29,16,Church Burgs
6,not found,1996,11,23,04,Hayden Circles
7,not found,2013,09,24,23,Nicole Shores
8,found,2009,10,06,00,Gay Pike
9,not found,2024,04,23,03,Elizabeth Hollow
10,found,2017,11,09,18,Angela Drive
11,found,2019,10,07,00,Derrick Brooks
12,found,2010,07,06,00,Laurie Turnpike
13,found,1999,03,23,01,Ashley Mission
14,pending,2019,07,22,12,Rita Field
15,pending,2007,08,23,11,Paul Forest
16,found,2000,12,06,15,Ariel Stravenue
17,not found,2006,07,19,20,Jeffrey Station
18,found,2010,07,05,10,Combs Crest
19,found,2022,03,11,02,Jones Fields
20,found,1995,02,15,05,Kathy Mills
21,not found,2000,06,05,06,Gutierrez Glen
22,not found,2013,02,12,17,Renee Orchard
23,found,1995,02,08,20,Curry River
24,found,2011,11,18,11,Michael Dale
25,not found,2000,06,22,11,Katherine Pines
26,pending,2011,02,21,02,Russell Lane
27,found,2000,03,02,19,Jennifer Turnpike
28,found,2010,01,22,20,Santos Spurs
29,found,2010,03,08,08,William Shore
30,not found,2021,02,10,07,Brian Hill
31,not found,1997,01,05,14,Ryan Fort
32,found,2013,04,08,03,Hill Shoal
33,not found,2023,04,20,04,Rachel Knolls
34,found,2001,04,30,04,John Hills
35,pending,2008,09,07,20,Michael Points
36,found,2010,12,12,19,Cox Locks
37,found,2006,08,05,00,Robert Avenue
38,found,2009,07,16,08,Wilkinson Squares
39,found,1996,12,04,02,Barnett Vista
40,not found,2020,11,09,11,Justin Divide
41,pending,2016,11,11,13,Morales Islands
42,found,2023,02,20,06,Lisa Wall
43,found,2009,11,06,13,Mark Haven
44,found,2022,02,21,20,Coleman Highway
45,not found,2019,11,13,22,Jose Prairie
46,found,1998,08,28,06,Calvin Inlet
47,found,2015,10,03,14,Linda Islands
48,found,2014,05,28,12,Hall Square
49,not found,2016,09,29,10,Kristopher Fords
50,not found,2018,04,22,17,Matthew Crescent
51,found,2013,02,20,05,Shane Course
52,not found,2008,09,30,07,Lowe Hills
53,pending,2001,08,21,04,Jeffrey Corner
54,found,2017,05,29,00,Holland Forge
55,not found,2022,12,24,09,Joshua Valleys
56,not found,1996,07,27,13,Ashley Meadow
57,pending,1999,06,01,16,Heather Flat
58,pending,2023,11,15,01,Yvonne Tunnel
59,found,2004,04,22,18,Zimmerman Glen
60,found,2015,12,15,22,Nicole Estates
61,not found,2013,12,26,23,Harris Roads
62,not found,2017,02,24,13,Tom Skyway
63,found,2018,03,22,14,Washington Mountain
64,found,2011,11,21,09,Rivas Crossing
65,not found,2022,05,12,04,Arthur Villages
66,not found,2019,12,02,06,Wilson Mission
67,not found,2012,02,04,03,Smith Square
68,not found,2006,10,14,15,Robles Fork
69,not found,1998,10,11,21,Benjamin Heights
70,pending,1996,09,01,08,Schultz Ways
71,not found,2009,01,07,22,Mario Squares
72,found,2023,03,08,05,Burns Stream
73,pending,2010,10,29,07,Fuller Flat
74,found,1996,04,03,13,Rebecca Tunnel
75,found,1999,09,02,22,Melissa Walks
76,pending,2008,09,06,05,Kent Station
77,found,1995,06,04,07,Garcia Underpass
78,found,2007,08,19,07,Kathryn Village
79,not found,2010,03,30,10,Shepherd Stream
80,pending,2001,03,27,08,Horton Forges
81,found,2017,01,16,14,Clark Trail
82,not found,2023,10,17,03,Brenda Mount
83,pending,2014,10,21,13,Tammy Prairie
84,found,2015,12,02,09,Darrell Inlet
85,found,2015,05,04,22,Keith Causeway
86,pending,2021,12,05,00,Brown Road
87,found,2024,05,02,20,Sanders Tunnel
88,not found,1995,02,08,02,Schneider Walk
89,not found,2006,08,07,03,Samantha Stravenue
90,found,1997,11,03,01,Jones Forks
91,found,2003,03,28,13,Dillon Ranch
92,not found,2008,05,17,14,Jose Pines
93,pending,1995,07,16,08,Theresa Ranch
94,not found,1995,07,10,11,Marshall Roads
95,not found,2005,02,19,23,Munoz Lodge
96,not found,2003,01,03,23,Daniels Springs
97,pending,2001,06,21,07,Harris Isle
98,found,2008,06,03,09,Stewart Points
99,not found,2016,02,04,21,Mccullough Meadows
