VIN,Make,Price,Purchase_Method
Y0EHAUU25VKSMU199,Ford,280000,Cash
C96D6N227W3H6XG4R,Chevrolet,460000,Cash
D9V0BSAG886HN4S5N,Chevrolet,110000,Cash
8LESB6XY6KG6FDYES,Ford,430000,Cash
RVPLYS996176YMZWC,Nissan,140000,Financing
8BJEFA9V025NX9W3F,Chevrolet,310000,Cash
BYFBX02C1HL5PGBZR,GMC,480000,Cash
3M1SNT1T95WFF6EKY,Volkswagen,50000,Financing
U697TX1B81X2JMMSS,Geo,310000,Cash
7KPZ9SDF9572605RL,Aston Martin,200000,Lease
BX24YBH76DB9S6KT9,Ford,100000,Financing
5S9TPG211J3LWVJ7Y,MAZDA,170000,Cash
LWBBW7PL45LB0EBF6,Alfa Romeo,210000,Financing
1TL53JEP88BEECGH3,Audi,490000,Cash
JPLE8TJ16UPAR9KBK,Ford,430000,Cash
M0N1AA8T7JL567GA7,Chevrolet,420000,Lease
T24Z6XLC1MNSTKR5R,Ford,220000,Cash
8F4UAA369L2VPSL74,Ford,120000,Financing
EVS2PA8DXRP144LZL,BMW,130000,Cash
00K9YUSZ43SX0HBBK,Audi,60000,Cash
G10AKB5N06TEH9USS,Mercury,140000,Cash
T922P54V1CKAMECAZ,Chrysler,120000,Lease
KYZPJ7ZW42LU23ERP,Volkswagen,490000,Cash
AM5BFXW36DZ27SVND,Chevrolet,290000,Lease
3NF2UAHA45U8ZMWSJ,Ram,460000,Cash
M7G2N4CEXSS1AXVS0,Mercury,450000,Financing
0VR28NGC3YLMF3TT1,Ford,60000,Financing
7NKCRLED1G4XN4TJU,GMC,90000,Financing
GZMUK4TB6F45VJ9CG,Ford,160000,Cash
K5ASUKZN6GZY0Z562,Jeep,300000,Cash
THR35GHJ9ARFBZELJ,Dodge,400000,Cash
PEZ82MEK6JL50H8KV,Dodge,350000,Cash
K19HULL87DKCRP547,Mercury,400000,Financing
LJ25NLX09NM3PSEFR,Kia,470000,Financing
P7K0Z9MT5KK628UAX,Hyundai,330000,Cash
09872GGP79V8L3CNT,Honda,110000,Cash
U2ATB3WJ63NJH7SRH,Audi,110000,Financing
G062A4WT2PK0NUYMN,MAZDA,410000,Lease
WWYMC4LR5XSRE24M6,Chrysler,460000,Lease
V500Z8M48K0Z789F2,Chevrolet,120000,Cash
M4YKK2V490BV5AL8J,Saab,250000,Cash
XVYRW6HT6PYY30616,Jaguar,330000,Cash
CC1KPTN73KA1P51ZJ,Dodge,290000,Cash
F5JZ3L173RZEXHRS7,MAZDA,110000,Lease
F04EGU9R54913U6XA,Aston Martin,230000,Cash
RF0192N69SEL5UH7P,Alfa Romeo,80000,Cash
H4CYE3KJ55MY72DD3,Freightliner,320000,Cash
STTBFUTJ31R5JA3KH,GMC,360000,Cash
8CEV35K27RNPWBAXS,MAZDA,460000,Financing
TX3N4FZM81D00XEFY,Chevrolet,70000,Cash
PLYTNCVN2GNMC308G,Dodge,180000,Lease
2A0EG9L46YV9XV1B6,Tesla,380000,Financing
VTM6KDND8YBH5HEJ2,Ford,10000,Financing
8CMCUJNZ2LRE13PC9,Chrysler,440000,Cash
HMJWAMYL5STA0NWXS,Chevrolet,250000,Financing
P12BGDZG31Z6U2ZN0,Mercedes-Benz,270000,Financing
T1ENZGBVX72PFCUP2,MAZDA,220000,Financing
RU8RXCP183DEE4SZB,Acura,440000,Cash
HKXWLLW42DRVWCCMW,Chevrolet,310000,Cash
93W1M4W446VAYBTFU,MAZDA,20000,Cash
XBH1JWXH7W163K2PG,Nissan,160000,Financing
0XEFA0RT9VXFBCJ6M,Volkswagen,20000,Cash
BGZGCB376SHZBDFUR,Chrysler,130000,Cash
66UT237E5UP3JEB3M,Hyundai,50000,Cash
2VC5YA7B9T39PVAZU,BMW,400000,Cash
23VXPN2RXZY0H8UY2,Honda,260000,Lease
CD8W4ZG786JRVUPH4,Chevrolet,30000,Cash
HYL04NKV5KK2N4KJ7,Honda,330000,Cash
SZNBJ9FV5FTYTBUCA,Suzuki,290000,Cash
5UUXG2JB566HGUTJH,Chevrolet,50000,Financing
3VAVWGW14XRTTNWP5,GMC,470000,Lease
ZG1TV7SJ76GLK3X1T,Ford,460000,Cash
SFACV9AT4M1TKN536,Plymouth,450000,Cash
CHMP1UYM7MR60GXL7,Hyundai,160000,Lease
Y1D5LKBR2TNGV0TWF,Chrysler,450000,Cash
V6YUZ6KG7X40AP5U6,Nissan,270000,Cash
SHSNG04N093M62JKW,Honda,200000,Financing
49BL466E4077326GB,Honda,160000,Financing
47GXG3GY7BJ4ZKBP0,Toyota,70000,Cash
JPKCPCM1XH52YNZV3,Toyota,380000,Financing
EAULTV038K36E5YT2,Chevrolet,350000,Cash
C97LY9JNXCSUKTVJ4,Porsche,280000,Cash
MCWSZHFT3ZJSZM439,Saab,240000,Cash
4WWABZ4U37TNVU49M,Aston Martin,80000,Financing
6WZP13DR1U8Z5EW49,Audi,130000,Financing
FD4Y6UDE6ZVPBKBU0,Hyundai,480000,Cash
8J5K39F375FX2UHK5,Hyundai,430000,Cash
PJNRR1NT91R2VE7CW,Toyota,80000,Financing
6D179H4L7A3CJCSLM,Ford,170000,Lease
K10J8NVH6JP5N7PXF,Saturn,380000,Cash
TGJX91AH56R7C5KVA,Chevrolet,470000,Cash
WLD210SV0DZTNTP1M,Land Rover,140000,Cash
9XAD84MM7ZATVWUJU,Oldsmobile,130000,Cash
RF23BP6Z0KTEH89NZ,Hyundai,300000,Financing
U9Y16DBP2MDF9T8AX,Subaru,180000,Financing
HT3L8H2B0KW547HPR,Lincoln,290000,Cash
TBLHYATW5YBKXNC6H,Land Rover,370000,Cash
XJWC2LZL7BYAWJ1WC,GMC,50000,Cash
U0VDC4E45A7BMRB3G,Dodge,170000,Financing
7U76TJ60800F7UY8L,Freightliner,420000,Cash
