Event_Code,VIN
99,7U76TJ60800F7UY8L
98,U0VDC4E45A7BMRB3G
97,XJWC2LZL7BYAWJ1WC
96,TBLHYATW5YBKXNC6H
95,HT3L8H2B0KW547HPR
94,U9Y16DBP2MDF9T8AX
93,RF23BP6Z0KTEH89NZ
92,9XAD84MM7ZATVWUJU
91,WLD210SV0DZTNTP1M
90,TGJX91AH56R7C5KVA
89,K10J8NVH6JP5N7PXF
88,6D179H4L7A3CJCSLM
87,PJNRR1NT91R2VE7CW
86,8J5K39F375FX2UHK5
85,FD4Y6UDE6ZVPBKBU0
84,6WZP13DR1U8Z5EW49
83,4WWABZ4U37TNVU49M
82,MCWSZHFT3ZJSZM439
81,C97LY9JNXCSUKTVJ4
80,EAULTV038K36E5YT2
79,JPKCPCM1XH52YNZV3
78,47GXG3GY7BJ4ZKBP0
77,49BL466E4077326GB
76,SHSNG04N093M62JKW
75,V6YUZ6KG7X40AP5U6
74,Y1D5LKBR2TNGV0TWF
73,CHMP1UYM7MR60GXL7
72,SFACV9AT4M1TKN536
71,ZG1TV7SJ76GLK3X1T
70,3VAVWGW14XRTTNWP5
69,5UUXG2JB566HGUTJH
68,SZNBJ9FV5FTYTBUCA
67,HYL04NKV5KK2N4KJ7
66,CD8W4ZG786JRVUPH4
65,23VXPN2RXZY0H8UY2
64,2VC5YA7B9T39PVAZU
63,66UT237E5UP3JEB3M
62,BGZGCB376SHZBDFUR
61,0XEFA0RT9VXFBCJ6M
60,XBH1JWXH7W163K2PG
59,93W1M4W446VAYBTFU
58,HKXWLLW42DRVWCCMW
57,RU8RXCP183DEE4SZB
56,T1ENZGBVX72PFCUP2
55,P12BGDZG31Z6U2ZN0
54,HMJWAMYL5STA0NWXS
53,8CMCUJNZ2LRE13PC9
52,VTM6KDND8YBH5HEJ2
51,2A0EG9L46YV9XV1B6
50,PLYTNCVN2GNMC308G
49,TX3N4FZM81D00XEFY
48,8CEV35K27RNPWBAXS
47,STTBFUTJ31R5JA3KH
46,H4CYE3KJ55MY72DD3
45,RF0192N69SEL5UH7P
44,F04EGU9R54913U6XA
43,F5JZ3L173RZEXHRS7
42,CC1KPTN73KA1P51ZJ
41,XVYRW6HT6PYY30616
40,M4YKK2V490BV5AL8J
39,V500Z8M48K0Z789F2
38,WWYMC4LR5XSRE24M6
37,G062A4WT2PK0NUYMN
36,U2ATB3WJ63NJH7SRH
35,09872GGP79V8L3CNT
34,P7K0Z9MT5KK628UAX
33,LJ25NLX09NM3PSEFR
32,K19HULL87DKCRP547
31,PEZ82MEK6JL50H8KV
30,THR35GHJ9ARFBZELJ
29,K5ASUKZN6GZY0Z562
28,GZMUK4TB6F45VJ9CG
27,7NKCRLED1G4XN4TJU
26,0VR28NGC3YLMF3TT1
25,M7G2N4CEXSS1AXVS0
24,3NF2UAHA45U8ZMWSJ
23,AM5BFXW36DZ27SVND
22,KYZPJ7ZW42LU23ERP
21,T922P54V1CKAMECAZ
20,G10AKB5N06TEH9USS
19,00K9YUSZ43SX0HBBK
18,EVS2PA8DXRP144LZL
17,8F4UAA369L2VPSL74
16,T24Z6XLC1MNSTKR5R
15,M0N1AA8T7JL567GA7
14,JPLE8TJ16UPAR9KBK
13,1TL53JEP88BEECGH3
12,LWBBW7PL45LB0EBF6
11,5S9TPG211J3LWVJ7Y
10,BX24YBH76DB9S6KT9
9,7KPZ9SDF9572605RL
8,U697TX1B81X2JMMSS
7,3M1SNT1T95WFF6EKY
6,BYFBX02C1HL5PGBZR
5,8BJEFA9V025NX9W3F
4,RVPLYS996176YMZWC
3,8LESB6XY6KG6FDYES
2,D9V0BSAG886HN4S5N
1,C96D6N227W3H6XG4R
0,Y0EHAUU25VKSMU199
