       Neighbourhood  average_price  total_vehicles  minimum_price  maximum_price
 St. Lawrence Market  430000.000000               1       430000.0       430000.0
  Scarborough Bluffs  377500.000000               4       330000.0       490000.0
           Chinatown  335000.000000               6       120000.0       470000.0
         Cabbagetown  335000.000000               4        80000.0       460000.0
 Distillery District  330000.000000               3       280000.0       400000.0
Church and Wellesley  325714.285714               7       200000.0       440000.0
            Parkdale  325000.000000               6        20000.0       470000.0
         Leslieville  296000.000000               5       110000.0       460000.0
  Bloor West Village  281428.571429               7        20000.0       480000.0
        Roncesvalles  251818.181818              11        70000.0       490000.0
           High Park  251428.571429               7        10000.0       480000.0
    Danforth Village  232500.000000               4        60000.0       400000.0
        Little Italy  230000.000000               6        50000.0       440000.0
   Kensington Market  208571.428571               7        50000.0       460000.0
           Yorkville  186666.666667               3        50000.0       290000.0
         The Beaches  185000.000000               4        80000.0       400000.0
          Queen West  165000.000000               4        30000.0       260000.0
     Liberty Village  150000.000000               3       120000.0       170000.0
            Rosedale  147500.000000               4        70000.0       290000.0
           The Annex  132500.000000               4        60000.0       210000.0
