(30, 'pending', 2024, 3, 27, 16, 'Danforth Village')
(40, 'pending', 2024, 3, 16, 9, 'Chinatown')
(61, 'pending', 2023, 3, 19, 11, 'Parkdale')
(38, 'found', 2023, 2, 5, 20, 'Kensington Market')
(24, 'not found', 2023, 4, 5, 9, 'Cabbagetown')
(50, 'found', 2022, 3, 25, 23, 'Danforth Village')
(21, 'found', 2022, 3, 24, 5, 'Liberty Village')
(42, 'not found', 2022, 1, 18, 8, 'Rosedale')
(93, 'found', 2022, 10, 15, 23, 'Leslieville')
(29, 'found', 2022, 10, 4, 12, 'Bloor West Village')
(95, 'not found', 2021, 7, 25, 16, 'Yorkville')
(7, 'pending', 2021, 6, 5, 5, 'High Park')
(27, 'not found', 2020, 11, 30, 23, 'The Annex')
(5, 'not found', 2020, 7, 5, 19, 'High Park')
(71, 'found', 2020, 3, 1, 9, 'Parkdale')
(47, 'found', 2019, 4, 25, 13, 'Scarborough Bluffs')
(67, 'pending', 2019, 8, 23, 9, 'Church and Wellesley')
(51, 'pending', 2019, 5, 21, 9, 'Church and Wellesley')
(82, 'not found', 2019, 9, 20, 18, 'Queen West')
(39, 'found', 2019, 10, 7, 0, 'Chinatown')
(87, 'not found', 2018, 5, 22, 9, 'Kensington Market')
(88, 'found', 2018, 7, 13, 21, 'Liberty Village')
(16, 'found', 2018, 11, 4, 12, 'High Park')
(33, 'not found', 2017, 4, 29, 0, 'Roncesvalles')
(74, 'found', 2017, 10, 15, 15, 'Cabbagetown')
(36, 'not found', 2017, 11, 9, 18, 'Parkdale')
(94, 'not found', 2017, 3, 8, 7, 'Bloor West Village')
(75, 'found', 2017, 6, 4, 4, 'Church and Wellesley')
(92, 'found', 2017, 11, 3, 20, 'The Beaches')
(22, 'found', 2016, 2, 26, 3, 'Roncesvalles')
(11, 'found', 2016, 5, 24, 21, 'The Annex')
(19, 'found', 2016, 1, 6, 6, 'The Annex')
(35, 'not found', 2015, 5, 31, 17, 'Little Italy')
(4, 'not found', 2015, 12, 6, 3, 'Roncesvalles')
(13, 'not found', 2014, 9, 23, 7, 'Scarborough Bluffs')
(28, 'found', 2014, 6, 17, 6, 'Roncesvalles')
(79, 'found', 2013, 9, 14, 9, 'Bloor West Village')
(80, 'found', 2013, 2, 12, 17, 'Cabbagetown')
(69, 'not found', 2013, 7, 7, 8, 'Little Italy')
(52, 'not found', 2012, 12, 28, 10, 'High Park')
(56, 'not found', 2012, 3, 13, 9, 'Yorkville')
(96, 'found', 2011, 2, 21, 2, 'Roncesvalles')
(73, 'found', 2011, 12, 20, 16, 'Little Italy')
(86, 'not found', 2011, 11, 18, 11, 'St. Lawrence Market')
(48, 'not found', 2011, 8, 3, 18, 'Leslieville')
(31, 'not found', 2010, 1, 25, 14, 'Roncesvalles')
(66, 'pending', 2010, 11, 16, 10, 'Queen West')
(10, 'not found', 2010, 6, 16, 8, 'Roncesvalles')
